  20.234869333s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 20.2) — 3.3k marks/s, ~39.4k live (12.0 u life)
  21.166942625s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 15 note(s) the playhead had already passed (the render path was still warming up)
  22.168362625s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 18 note(s) the playhead had already passed (the render path was still warming up)
  23.167812667s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 20 note(s) the playhead had already passed (the render path was still warming up)
  24.166982250s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 24 note(s) the playhead had already passed (the render path was still warming up)
  25.167323500s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  25.235094042s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 25.9) — 1.2k marks/s, ~13.9k live (12.0 u life)
  26.167392667s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
  27.167619292s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  28.167381750s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 18 note(s) the playhead had already passed (the render path was still warming up)
  29.167668583s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  30.167535583s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
  30.235325458s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 38.8) — 1.7k marks/s, ~20.0k live (12.0 u life)
  31.167138958s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  32.167739042s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 20 note(s) the playhead had already passed (the render path was still warming up)
  33.168328375s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
  34.168456208s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  35.167812958s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
  35.236309417s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 42.5) — 3.0k marks/s, ~35.6k live (12.0 u life)
  36.168023542s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 15 note(s) the playhead had already passed (the render path was still warming up)
  37.167675500s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 14 note(s) the playhead had already passed (the render path was still warming up)
  38.167296250s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  39.167809375s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
  40.168042500s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 20 note(s) the playhead had already passed (the render path was still warming up)
  40.252738000s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 31.7) — 3.3k marks/s, ~39.2k live (12.0 u life)
  41.171943250s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 14 note(s) the playhead had already passed (the render path was still warming up)
  42.168079167s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  43.168845292s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
  44.168105667s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 15 note(s) the playhead had already passed (the render path was still warming up)
  45.168585750s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 18 note(s) the playhead had already passed (the render path was still warming up)
  45.268983917s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 30.1) — 2.7k marks/s, ~32.1k live (12.0 u life)
  46.167548500s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 15 note(s) the playhead had already passed (the render path was still warming up)
  47.167553292s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 24 note(s) the playhead had already passed (the render path was still warming up)
  48.168021958s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 28 note(s) the playhead had already passed (the render path was still warming up)
  49.168049375s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  50.167968625s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
  50.269431833s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 37.9) — 1.4k marks/s, ~16.4k live (12.0 u life)
  51.167390375s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  52.166754083s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 18 note(s) the playhead had already passed (the render path was still warming up)
  53.167463458s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  54.167432500s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
  55.167388083s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  55.285352500s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 39.6) — 1.9k marks/s, ~22.7k live (12.0 u life)
  56.167881917s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 24 note(s) the playhead had already passed (the render path was still warming up)
  57.168028667s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  58.168372750s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
  59.167418625s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  60.168098250s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 18 note(s) the playhead had already passed (the render path was still warming up)
  60.302246750s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 29.8) — 3.1k marks/s, ~37.3k live (12.0 u life)
  61.167142417s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  62.167489833s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
  63.167330500s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  64.167556333s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 20 note(s) the playhead had already passed (the render path was still warming up)
  65.168424125s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
